x,Density,Temperature,Velocity,Mach
0.0,1.0,1.0,0.099,0.099
0.1,0.998,0.999,0.112,0.112
0.2,0.997,0.999,0.125,0.125
0.30000000000000004,0.994,0.998,0.143,0.143
0.4,0.992,0.997,0.162,0.163
0.5,0.987,0.995,0.187,0.187
0.6000000000000001,0.982,0.993,0.215,0.216
0.7000000000000001,0.974,0.989,0.251,0.252
0.8,0.963,0.985,0.294,0.296
0.9,0.947,0.978,0.346,0.35
1.0,0.924,0.969,0.409,0.416
1.1,0.892,0.956,0.485,0.496
1.2000000000000002,0.849,0.937,0.575,0.594
1.3,0.792,0.911,0.678,0.71
1.4000000000000001,0.721,0.878,0.793,0.846
1.5,0.639,0.836,0.914,0.999
1.6,0.551,0.789,1.037,1.167
1.7000000000000002,0.465,0.737,1.155,1.345
1.8,0.386,0.684,1.263,1.528
1.9000000000000001,0.318,0.633,1.361,1.71
2.0,0.262,0.585,1.446,1.89
2.1,0.216,0.541,1.519,2.065
2.2,0.179,0.502,1.582,2.233
2.3000000000000003,0.15,0.467,1.636,2.394
2.4000000000000004,0.126,0.436,1.683,2.549
2.5,0.107,0.408,1.723,2.696
2.6,0.092,0.384,1.759,2.839
2.7,0.079,0.362,1.789,2.972
2.8000000000000003,0.069,0.342,1.817,3.105
2.9000000000000004,0.061,0.325,1.839,3.225
3.0,0.053,0.308,1.862,3.353
